round,matchup,series_stats_link
Finals,"Cleveland Cavaliers 
over 
Golden State Warriors
 (4-3)",/playoffs/2016-nba-finals-cavaliers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference Finals,"Cleveland Cavaliers 
over 
Toronto Raptors
 (4-2)",/playoffs/2016-nba-eastern-conference-finals-raptors-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Finals,"Golden State Warriors 
over 
Oklahoma City Thunder
 (4-3)",/playoffs/2016-nba-western-conference-finals-thunder-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference Semifinals,"Cleveland Cavaliers 
over 
Atlanta Hawks
 (4-0)",/playoffs/2016-nba-eastern-conference-semifinals-hawks-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference Semifinals,"Toronto Raptors 
over 
Miami Heat
 (4-3)",/playoffs/2016-nba-eastern-conference-semifinals-heat-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference Semifinals,"Golden State Warriors 
over 
Portland Trail Blazers
 (4-1)",/playoffs/2016-nba-western-conference-semifinals-trail-blazers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference Semifinals,"Oklahoma City Thunder 
over 
San Antonio Spurs
 (4-2)",/playoffs/2016-nba-western-conference-semifinals-thunder-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Atlanta Hawks 
over 
Boston Celtics
 (4-2)",/playoffs/2016-nba-eastern-conference-first-round-celtics-vs-hawks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Cleveland Cavaliers 
over 
Detroit Pistons
 (4-0)",/playoffs/2016-nba-eastern-conference-first-round-pistons-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Miami Heat 
over 
Charlotte Hornets
 (4-3)",/playoffs/2016-nba-eastern-conference-first-round-hornets-vs-heat.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Toronto Raptors 
over 
Indiana Pacers
 (4-3)",/playoffs/2016-nba-eastern-conference-first-round-pacers-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference First Round,"Golden State Warriors 
over 
Houston Rockets
 (4-1)",/playoffs/2016-nba-western-conference-first-round-rockets-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Oklahoma City Thunder 
over 
Dallas Mavericks
 (4-1)",/playoffs/2016-nba-western-conference-first-round-mavericks-vs-thunder.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Portland Trail Blazers 
over 
Los Angeles Clippers
 (4-2)",/playoffs/2016-nba-western-conference-first-round-trail-blazers-vs-clippers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"San Antonio Spurs 
over 
Memphis Grizzlies
 (4-0)",/playoffs/2016-nba-western-conference-first-round-grizzlies-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
