round,matchup,series_stats_link
Finals,"Toronto Raptors 
over 
Golden State Warriors
 (4-2)",/playoffs/2019-nba-finals-warriors-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference Finals,"Toronto Raptors 
over 
Milwaukee Bucks
 (4-2)",/playoffs/2019-nba-eastern-conference-finals-raptors-vs-bucks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Finals,"Golden State Warriors 
over 
Portland Trail Blazers
 (4-0)",/playoffs/2019-nba-western-conference-finals-trail-blazers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference Semifinals,"Milwaukee Bucks 
over 
Boston Celtics
 (4-1)",/playoffs/2019-nba-eastern-conference-semifinals-celtics-vs-bucks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference Semifinals,"Toronto Raptors 
over 
Philadelphia 76ers
 (4-3)",/playoffs/2019-nba-eastern-conference-semifinals-76ers-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference Semifinals,"Golden State Warriors 
over 
Houston Rockets
 (4-2)",/playoffs/2019-nba-western-conference-semifinals-rockets-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Semifinals,"Portland Trail Blazers 
over 
Denver Nuggets
 (4-3)",/playoffs/2019-nba-western-conference-semifinals-trail-blazers-vs-nuggets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Boston Celtics 
over 
Indiana Pacers
 (4-0)",/playoffs/2019-nba-eastern-conference-first-round-pacers-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Milwaukee Bucks 
over 
Detroit Pistons
 (4-0)",/playoffs/2019-nba-eastern-conference-first-round-pistons-vs-bucks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Philadelphia 76ers 
over 
Brooklyn Nets
 (4-1)",/playoffs/2019-nba-eastern-conference-first-round-nets-vs-76ers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference First Round,"Toronto Raptors 
over 
Orlando Magic
 (4-1)",/playoffs/2019-nba-eastern-conference-first-round-magic-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Denver Nuggets 
over 
San Antonio Spurs
 (4-3)",/playoffs/2019-nba-western-conference-first-round-spurs-vs-nuggets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference First Round,"Golden State Warriors 
over 
Los Angeles Clippers
 (4-2)",/playoffs/2019-nba-western-conference-first-round-clippers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"Houston Rockets 
over 
Utah Jazz
 (4-1)",/playoffs/2019-nba-western-conference-first-round-jazz-vs-rockets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Portland Trail Blazers 
over 
Oklahoma City Thunder
 (4-1)",/playoffs/2019-nba-western-conference-first-round-thunder-vs-trail-blazers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
