round,matchup,series_stats_link,winner,loser,series_result
Finals,San Antonio Spurs over New Jersey Nets (4-2),/playoffs/2003-nba-finals-nets-vs-spurs.html,San Antonio Spurs,New Jersey Nets,4-2
Eastern Conference Finals,New Jersey Nets over Detroit Pistons (4-0),/playoffs/2003-nba-eastern-conference-finals-nets-vs-pistons.html,New Jersey Nets,Detroit Pistons,4-0
Western Conference Finals,San Antonio Spurs over Dallas Mavericks (4-2),/playoffs/2003-nba-western-conference-finals-mavericks-vs-spurs.html,San Antonio Spurs,Dallas Mavericks,4-2
Eastern Conference Semifinals,Detroit Pistons over Philadelphia 76ers (4-2),/playoffs/2003-nba-eastern-conference-semifinals-76ers-vs-pistons.html,Detroit Pistons,Philadelphia 76ers,4-2
Eastern Conference Semifinals,New Jersey Nets over Boston Celtics (4-0),/playoffs/2003-nba-eastern-conference-semifinals-celtics-vs-nets.html,New Jersey Nets,Boston Celtics,4-0
Western Conference Semifinals,Dallas Mavericks over Sacramento Kings (4-3),/playoffs/2003-nba-western-conference-semifinals-kings-vs-mavericks.html,Dallas Mavericks,Sacramento Kings,4-3
Western Conference Semifinals,San Antonio Spurs over Los Angeles Lakers (4-2),/playoffs/2003-nba-western-conference-semifinals-lakers-vs-spurs.html,San Antonio Spurs,Los Angeles Lakers,4-2
Eastern Conference First Round,Boston Celtics over Indiana Pacers (4-2),/playoffs/2003-nba-eastern-conference-first-round-celtics-vs-pacers.html,Boston Celtics,Indiana Pacers,4-2
Eastern Conference First Round,Detroit Pistons over Orlando Magic (4-3),/playoffs/2003-nba-eastern-conference-first-round-magic-vs-pistons.html,Detroit Pistons,Orlando Magic,4-3
Eastern Conference First Round,New Jersey Nets over Milwaukee Bucks (4-2),/playoffs/2003-nba-eastern-conference-first-round-bucks-vs-nets.html,New Jersey Nets,Milwaukee Bucks,4-2
Eastern Conference First Round,Philadelphia 76ers over New Orleans Hornets (4-2),/playoffs/2003-nba-eastern-conference-first-round-hornets-vs-76ers.html,Philadelphia 76ers,New Orleans Hornets,4-2
Western Conference First Round,Dallas Mavericks over Portland Trail Blazers (4-3),/playoffs/2003-nba-western-conference-first-round-trail-blazers-vs-mavericks.html,Dallas Mavericks,Portland Trail Blazers,4-3
Western Conference First Round,Los Angeles Lakers over Minnesota Timberwolves (4-2),/playoffs/2003-nba-western-conference-first-round-lakers-vs-timberwolves.html,Los Angeles Lakers,Minnesota Timberwolves,4-2
Western Conference First Round,Sacramento Kings over Utah Jazz (4-1),/playoffs/2003-nba-western-conference-first-round-jazz-vs-kings.html,Sacramento Kings,Utah Jazz,4-1
Western Conference First Round,San Antonio Spurs over Phoenix Suns (4-2),/playoffs/2003-nba-western-conference-first-round-suns-vs-spurs.html,San Antonio Spurs,Phoenix Suns,4-2
