round,matchup,series_stats_link
Finals,"Los Angeles Lakers 
over 
Orlando Magic
 (4-1)",/playoffs/2009-nba-finals-magic-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference Finals,"Orlando Magic 
over 
Cleveland Cavaliers
 (4-2)",/playoffs/2009-nba-eastern-conference-finals-magic-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Finals,"Los Angeles Lakers 
over 
Denver Nuggets
 (4-2)",/playoffs/2009-nba-western-conference-finals-nuggets-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference Semifinals,"Cleveland Cavaliers 
over 
Atlanta Hawks
 (4-0)",/playoffs/2009-nba-eastern-conference-semifinals-hawks-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference Semifinals,"Orlando Magic 
over 
Boston Celtics
 (4-3)",/playoffs/2009-nba-eastern-conference-semifinals-magic-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference Semifinals,"Denver Nuggets 
over 
Dallas Mavericks
 (4-1)",/playoffs/2009-nba-western-conference-semifinals-mavericks-vs-nuggets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference Semifinals,"Los Angeles Lakers 
over 
Houston Rockets
 (4-3)",/playoffs/2009-nba-western-conference-semifinals-rockets-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Atlanta Hawks 
over 
Miami Heat
 (4-3)",/playoffs/2009-nba-eastern-conference-first-round-heat-vs-hawks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Boston Celtics 
over 
Chicago Bulls
 (4-3)",/playoffs/2009-nba-eastern-conference-first-round-bulls-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Cleveland Cavaliers 
over 
Detroit Pistons
 (4-0)",/playoffs/2009-nba-eastern-conference-first-round-pistons-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Orlando Magic 
over 
Philadelphia 76ers
 (4-2)",/playoffs/2009-nba-eastern-conference-first-round-76ers-vs-magic.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"Dallas Mavericks 
over 
San Antonio Spurs
 (4-1)",/playoffs/2009-nba-western-conference-first-round-mavericks-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Denver Nuggets 
over 
New Orleans Hornets
 (4-1)",/playoffs/2009-nba-western-conference-first-round-hornets-vs-nuggets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Houston Rockets 
over 
Portland Trail Blazers
 (4-2)",/playoffs/2009-nba-western-conference-first-round-rockets-vs-trail-blazers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"Los Angeles Lakers 
over 
Utah Jazz
 (4-1)",/playoffs/2009-nba-western-conference-first-round-jazz-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
