round,matchup,series_stats_link
Finals,"Miami Heat 
over 
Oklahoma City Thunder
 (4-1)",/playoffs/2012-nba-finals-heat-vs-thunder.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference Finals,"Miami Heat 
over 
Boston Celtics
 (4-3)",/playoffs/2012-nba-eastern-conference-finals-celtics-vs-heat.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference Finals,"Oklahoma City Thunder 
over 
San Antonio Spurs
 (4-2)",/playoffs/2012-nba-western-conference-finals-thunder-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference Semifinals,"Boston Celtics 
over 
Philadelphia 76ers
 (4-3)",/playoffs/2012-nba-eastern-conference-semifinals-76ers-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference Semifinals,"Miami Heat 
over 
Indiana Pacers
 (4-2)",/playoffs/2012-nba-eastern-conference-semifinals-pacers-vs-heat.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Semifinals,"Oklahoma City Thunder 
over 
Los Angeles Lakers
 (4-1)",/playoffs/2012-nba-western-conference-semifinals-lakers-vs-thunder.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference Semifinals,"San Antonio Spurs 
over 
Los Angeles Clippers
 (4-0)",/playoffs/2012-nba-western-conference-semifinals-clippers-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Boston Celtics 
over 
Atlanta Hawks
 (4-2)",/playoffs/2012-nba-eastern-conference-first-round-celtics-vs-hawks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Indiana Pacers 
over 
Orlando Magic
 (4-1)",/playoffs/2012-nba-eastern-conference-first-round-magic-vs-pacers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference First Round,"Miami Heat 
over 
New York Knicks
 (4-1)",/playoffs/2012-nba-eastern-conference-first-round-knicks-vs-heat.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference First Round,"Philadelphia 76ers 
over 
Chicago Bulls
 (4-2)",/playoffs/2012-nba-eastern-conference-first-round-76ers-vs-bulls.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"Los Angeles Clippers 
over 
Memphis Grizzlies
 (4-3)",/playoffs/2012-nba-western-conference-first-round-clippers-vs-grizzlies.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference First Round,"Los Angeles Lakers 
over 
Denver Nuggets
 (4-3)",/playoffs/2012-nba-western-conference-first-round-nuggets-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference First Round,"Oklahoma City Thunder 
over 
Dallas Mavericks
 (4-0)",/playoffs/2012-nba-western-conference-first-round-mavericks-vs-thunder.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference First Round,"San Antonio Spurs 
over 
Utah Jazz
 (4-0)",/playoffs/2012-nba-western-conference-first-round-jazz-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
