round,matchup,winner
Eastern Play-In 7v8,brooklyn nets vs cleveland cavaliers,brooklyn nets
Eastern Play-In 9v10,atlanta hawks vs charlotte hornets,atlanta hawks
Eastern Play-In Final,cleveland cavaliers vs atlanta hawks,cleveland cavaliers
Western Play-In 7v8,minnesota timberwolves vs los angeles clippers,minnesota timberwolves
Western Play-In 9v10,new orleans pelicans vs san antonio spurs,new orleans pelicans
Western Play-In Final,los angeles clippers vs new orleans pelicans,los angeles clippers
Eastern First Round,miami heat vs cleveland cavaliers,miami heat
Eastern First Round,boston celtics vs brooklyn nets,boston celtics
Eastern First Round,milwaukee bucks vs chicago bulls,milwaukee bucks
Eastern First Round,philadelphia 76ers vs toronto raptors,philadelphia 76ers
Eastern Semifinals,miami heat vs boston celtics,miami heat
Eastern Semifinals,milwaukee bucks vs philadelphia 76ers,milwaukee bucks
Eastern Finals,miami heat vs milwaukee bucks,miami heat
Western First Round,phoenix suns vs los angeles clippers,phoenix suns
Western First Round,memphis grizzlies vs minnesota timberwolves,memphis grizzlies
Western First Round,golden state warriors vs denver nuggets,golden state warriors
Western First Round,dallas mavericks vs utah jazz,dallas mavericks
Western Semifinals,phoenix suns vs memphis grizzlies,phoenix suns
Western Semifinals,golden state warriors vs dallas mavericks,golden state warriors
Western Finals,phoenix suns vs golden state warriors,phoenix suns
NBA Finals,miami heat vs phoenix suns,miami heat
